FID,OBJECTID,SHAPE,BEZEICHNUNG,ADRESSE,FZG_ANZAHL,KATEGORIE,WEITERE_INF,SE_ANNO_CAD_DATA
CARSHARINGOGD.fid-420752d1_158626666b2_-72bd,4183,POINT (16.31932943056302 48.197667134114624),W15-Johnstraße U3,Meiselstraße 19,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72bc,4184,POINT (16.29542454398473 48.19525716086846),W14-Lützowgasse,Lützowgasse 6,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72bb,4215,POINT (16.35555725187227 48.19640811784069),W06-Naschmarkt,Linke Wienzeile,2,"City, Transport",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ba,4216,POINT (16.345227292812922 48.189527156993115),W06-Mollardgasse U4,Mollardgasse 77,2,"Combi, Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b9,4217,POINT (16.37640014454863 48.19229312395579),W04-Theresianumgasse,Theresianumgasse,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b8,4218,POINT (16.36854918557996 48.19459111850726),W04-Rainer Garage,Floragasse 7,1,Combi,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b7,4219,POINT (16.36623020217806 48.19863910041021),W04-Operngasse,Operngasse 24,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b6,4220,POINT (16.36592519234559 48.19049713923907),W04-Klagbaumgasse,Klagbaumgasse 3,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b5,4221,POINT (16.373243168402503 48.19874409515734),W04-Karlskirche U1/U2/U4,Mattiellistraße 2-4,1,Comfort,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b4,4222,POINT (16.397945040929017 48.19352210517059),W03-Wohnpark Rennweg,Landstraßer Hauptstraße 146/14,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b3,4223,POINT (16.388724102472814 48.205394054348886),W03-Seidlgasse,Seidlgasse 35,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b2,4224,POINT (16.392698078711316 48.202586064955845),W03-Rochusmarkt,Kundmanngasse ggü. 29,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b1,4225,POINT (16.383972116078322 48.19924908616739),W03-Reisnerstraße,Reisnerstraße 35,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72b0,4226,POINT (16.387817113949378 48.21119802701952),W03-Pfefferhofgasse,Pfefferhofgasse 8 /2,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72af,4227,POINT (16.386291115008436 48.206594050286554),W03-Wien Mitte,Invalidenstraße 5,2,"City, Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ae,4228,POINT (16.3773471490307 48.19901509174125),W03-Heumarkt,Zaunergasse 1-3,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ad,4229,POINT (16.413209961204462 48.19017411158827),W03-Erdberg P&R U3,Erdbergstraße 202,6,"2x Combi, Economy, Minivan, Transport, City",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ac,4230,POINT (16.40891102181516 48.218780977586185),W02-Vorgartenstraße / Messe Wien,Vorgartenstraße 223,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72ab,4231,POINT (16.384265140379444 48.21727300027748),W02-Rotensterngasse,Rotensterngasse 23,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72aa,4232,POINT (16.375615181896517 48.21637901025986),W02-Große Schiffgasse,Große Schiffgasse 10,3,"Combi, City, Transporter",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72a9,4233,POINT (16.39977207569915 48.225484951453716),W02-Bike City Vorgartenstraße 130-132,Vorgartenstraße 133,1,Economy,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72a8,4234,POINT (16.37499017936944 48.212812027241895),W01-Schwedenplatz U1/U4,Morzinplatz,5,"2x Combi, 2x City, 1x Economy",http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72a7,4235,POINT (16.376699160616266 48.20539606140328),W01-Hotel Marriott am Parkring,Parkring 12A,1,City,http://www.carsharing.at,
CARSHARINGOGD.fid-420752d1_158626666b2_-72a6,4236,POINT (16.3648432277659 48.21158103974445),W01-Freyung,Freyung,1,Comfort,http://www.carsharing.at,
