FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1546224,POINT (16.369677658208005 48.19458438812114),Technische Universität Wien,Institutsgebäude,1546224,
UNIVERSITAETOGD.1546225,POINT (16.371155225602934 48.19497290227156),Technische Universität Wien,Institutsgebäude,1546225,
UNIVERSITAETOGD.1546226,POINT (16.391755643257714 48.191202802398074),Technische Universität Wien,Funke-Halle,1546226,
UNIVERSITAETOGD.1546227,POINT (16.398730031879012 48.18121983981381),Technische Universität Wien,Arsenal Objekt 214,1546227,
UNIVERSITAETOGD.1546228,POINT (16.391945188647533 48.234261442889675),Technische Universität Wien,Labor Fertigungstechnik,1546228,
UNIVERSITAETOGD.1546229,POINT (16.373493941712997 48.19147437587955),Technische Universität Wien,Institutsgebäude,1546229,
UNIVERSITAETOGD.1546230,POINT (16.377377626240342 48.19247719043472),Technische Universität Wien,Institutsgebäude,1546230,
UNIVERSITAETOGD.1546231,POINT (16.41221691887164 48.196769099447316),Technische Universität Wien,Atominstitut,1546231,
UNIVERSITAETOGD.1546232,POINT (16.368077823118266 48.204086717825),Universität Wien,Hanuschgasse 3,1546232,
UNIVERSITAETOGD.1546233,POINT (16.365778350824534 48.21378984807821),Universität Wien,Hohenstaufengasse 9,1546233,
UNIVERSITAETOGD.1546234,POINT (16.357543048645287 48.213320386467814),Universität Wien,Psychologie,1546234,
UNIVERSITAETOGD.1546235,POINT (16.378842343464594 48.209257387137924),Universität Wien,Universitätsarchiv Postgasse,1546235,
UNIVERSITAETOGD.1546236,POINT (16.36302037920871 48.21085004010184),Universität Wien,Schenkenstraße,1546236,
UNIVERSITAETOGD.1546237,POINT (16.365001291600937 48.21405562361685),Universität Wien,Juridicum,1546237,
UNIVERSITAETOGD.1546238,POINT (16.36531982035855 48.21485937923903),Universität Wien,European Law Institute,1546238,
UNIVERSITAETOGD.1546239,POINT (16.35777926493982 48.21411848576345),Universität Wien,Neues Institutsgebäude,1546239,
UNIVERSITAETOGD.1546240,POINT (16.402151785090552 48.188189346144405),Universität Wien,Campus Vienna Biocenter,1546240,
UNIVERSITAETOGD.1546241,POINT (16.40058354470961 48.18856092822113),Universität Wien,Molekulare Biologie,1546241,
UNIVERSITAETOGD.1546242,POINT (16.383700153059152 48.195196589680656),Universität Wien,Biodiversitätszentrum/Botanischer Garten,1546242,
UNIVERSITAETOGD.1546243,POINT (16.359096514205394 48.22933891167398),Universität Wien,UZA II Geo-/Pharmaziezentrum,1546243,
UNIVERSITAETOGD.1546244,POINT (16.358868156857863 48.22931651033132),Universität Wien,UZA I Biozentrum,1546244,
