FID,SHAPE,STATION,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
CITYBIKEOGD.11268,POINT (16.3513387427262 48.22642502262636),Löblichgasse,9,11268,
CITYBIKEOGD.11269,POINT (16.354975797960442 48.22514562147288),Markthalle Alsergrund,9,11269,
CITYBIKEOGD.11270,POINT (16.367431454131193 48.222736726527195),Roßauer Lände U4,9,11270,
CITYBIKEOGD.11271,POINT (16.352475524304293 48.219287754026425),Sensengasse,9,11271,
CITYBIKEOGD.11272,POINT (16.361385247869126 48.21458602735518),Sigmund Freud Park,9,11272,
CITYBIKEOGD.11273,POINT (16.358695559144945 48.23528066667918),Spittelau U4/U6,9,11273,
CITYBIKEOGD.11274,POINT (16.375698223043457 48.186293516933475),Hauptbahnhof,10,11274,
CITYBIKEOGD.11275,POINT (16.374056717115323 48.18515975563565),Hauptbahnhof West,10,11275,
CITYBIKEOGD.11276,POINT (16.333922340118463 48.1842621890689),Längenfeldgasse,12,11276,
CITYBIKEOGD.11277,POINT (16.33077135094769 48.18024321000042),Reschgasse,12,11277,
CITYBIKEOGD.11278,POINT (16.331683544704998 48.17517018087157),Vivenotgasse,12,11278,
CITYBIKEOGD.11279,POINT (16.314233440881285 48.18682718871198),Schönbrunn Haupteingang,13,11279,
CITYBIKEOGD.11280,POINT (16.31855107051215 48.19033218545624),Technisches Museum,14,11280,
CITYBIKEOGD.11281,POINT (16.329879342156847 48.202505065651444),Markgraf-Rüdiger-Straße,15,11281,
CITYBIKEOGD.11282,POINT (16.3189695046396 48.1983583735664),Meiselmarkt,15,11282,
CITYBIKEOGD.11283,POINT (16.330205219997342 48.196186109663216),Schmelzbrücke,15,11283,
CITYBIKEOGD.11284,POINT (16.31988941119988 48.18586019000772),Schönbrunner Brücke,13,11284,
CITYBIKEOGD.11285,POINT (16.32711600594408 48.19987760421484),Schweglerstraße,15,11285,
CITYBIKEOGD.11286,POINT (16.32549259406012 48.190811391990984),Schwendermarkt,15,11286,
CITYBIKEOGD.11287,POINT (16.323053145093358 48.19679489159173),Selzergasse,15,11287,
CITYBIKEOGD.11288,POINT (16.333944196182642 48.19307863661804),Turnergasse,15,11288,
CITYBIKEOGD.11289,POINT (16.33855892056237 48.196823487932726),Westbahnhof Europaplatz,15,11289,
CITYBIKEOGD.11290,POINT (16.337711347298168 48.19795699287697),Westbahnhof Felberstraße,15,11290,
CITYBIKEOGD.11291,POINT (16.337209773921458 48.195736445205696),Westbahnhof Gerstnerstraße,15,11291,
CITYBIKEOGD.11292,POINT (16.318423671003167 48.19406919497855),Wieningerplatz,15,11292,
CITYBIKEOGD.11293,POINT (16.330751689466553 48.214012595893635),Brestelgasse,16,11293,
CITYBIKEOGD.11294,POINT (16.330829851564694 48.20583807286012),Fröbelgasse,16,11294,
CITYBIKEOGD.11295,POINT (16.33342655566557 48.20919324374739),Hofferplatz,16,11295,
CITYBIKEOGD.11296,POINT (16.339101362978052 48.21210195102437),Josefstädter Straße U6,16,11296,
CITYBIKEOGD.11297,POINT (16.311762463262074 48.21185291402386),Ottakring U3,16,11297,
CITYBIKEOGD.11298,POINT (16.32798169955151 48.210090539030524),Richard-Wagner-Platz,16,11298,
CITYBIKEOGD.11299,POINT (16.31878981488788 48.210780483631886),Schuhmeierplatz,16,11299,
CITYBIKEOGD.11300,POINT (16.33793230955998 48.20801170422987),Thaliastraße U6,16,11300,
CITYBIKEOGD.11301,POINT (16.335760689943697 48.214068153350084),Yppenplatz,16,11301,
CITYBIKEOGD.11302,POINT (16.341520627990207 48.2166392200885),Alser Straße U6,17,11302,
CITYBIKEOGD.11303,POINT (16.3284886518388 48.2228109095436),Blumengasse,17,11303,
CITYBIKEOGD.11304,POINT (16.334520908141187 48.221254427468416),Dornerplatz,17,11304,
CITYBIKEOGD.11305,POINT (16.33228395218437 48.21803320801108),Elterleinplatz,17,11305,
CITYBIKEOGD.11306,POINT (16.315278837462255 48.22323518323614),Hernals S45,17,11306,
CITYBIKEOGD.11307,POINT (16.337133360472738 48.217118899239146),Palffygasse,17,11307,
CITYBIKEOGD.11308,POINT (16.32653332595916 48.2195379630232),Rosensteingasse,17,11308,
CITYBIKEOGD.11309,POINT (16.335035018108595 48.228560271940516),Aumannplatz,18,11309,
CITYBIKEOGD.11310,POINT (16.329509697076634 48.2310188175218),Gersthof,18,11310,
CITYBIKEOGD.11311,POINT (16.344193372014836 48.22570492281959),Gertrudplatz,18,11311,
CITYBIKEOGD.11312,POINT (16.34370742919867 48.22181286544736),Michelbeuern,18,11312,
CITYBIKEOGD.11313,POINT (16.352971748438584 48.23172265428253),Nussdorfer Straße U6,18,11313,
