FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.350656,350656,"LINESTRING (16.341084442111722 48.21277239208689, 16.341186687079194 48.21303617746612)","8, Blindengasse 38 bis 40",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350698,350698,"LINESTRING (16.367028755643155 48.213995301894656, 16.36798302260512 48.21443169058596)","1, Börseplatz ggü. 5-7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,28,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350699,350699,"LINESTRING (16.387993737874275 48.21486708010952, 16.389071052078464 48.21532545005342, 16.38916794836926 48.21536084289942, 16.389481365051868 48.21549873939962)","2, Czerningasse 10 bis 18",ausg. Fahrzeuge mit Parkkleber für den 2. Bezirk,23,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350700,350700,"LINESTRING (16.345750439776587 48.21032341096373, 16.34579673233563 48.210407840583976)","8, Kupkagasse 1",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,2,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350701,350701,"LINESTRING (16.37188775424843 48.21241841604445, 16.37192383952275 48.21251624261628, 16.371948669114392 48.21258961688778, 16.37195380588873 48.212606643851615)","1, Fischerstiege 4-8",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350702,350702,"LINESTRING (16.37197960958977 48.212723549250754, 16.37200640665311 48.212860953137586, 16.372034081944797 48.21298170251402)","1, Fischerstiege 4-8 bis 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350703,350703,"LINESTRING (16.37309988688298 48.212149509243616, 16.373872770033028 48.21258749479233)","1, Marc-Aurel-Straße 5 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,15,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350704,350704,"LINESTRING (16.372892781863925 48.213038959863134, 16.373150577841074 48.21332684386783)","1, Salztorgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350705,350705,"LINESTRING (16.372721964691323 48.21405488056632, 16.372316306757018 48.214334398854945)","1, Rudolfsplatz ggü. 5 bis ggü. 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350706,350706,"LINESTRING (16.37022062524876 48.213792807846794, 16.370512259315493 48.21398182464768)","1, Heinrichsgasse 2 bis 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350707,350707,"LINESTRING (16.366953362461057 48.21155804498409, 16.366760171118322 48.21145816012552)","1, Tiefer Graben 2 bis 2A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350708,350708,"LINESTRING (16.368456997693226 48.213614663556534, 16.368146282372045 48.21347317350798)","1, Renngasse 18 bis 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350709,350709,"LINESTRING (16.36874189665454 48.21374604728752, 16.36854335767255 48.21365568400408)","1, Renngasse 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350710,350710,"LINESTRING (16.368642801970935 48.21430377773936, 16.369105034820382 48.21451560686431)","1, Werdertorgasse 2A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350711,350711,"LINESTRING (16.3690743370215 48.21464446303898, 16.368630140869 48.215074198958455)","1, Neutorgasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,16,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350712,350712,"LINESTRING (16.3687478884127 48.21516822393427, 16.369080461296264 48.21532193674398)","1, Eßlinggasse 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350713,350713,"LINESTRING (16.365013696704246 48.21480201965481, 16.36543624134474 48.21438967352673)","1, Hohenstaufengasse 12 bis 14",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350714,350714,"LINESTRING (16.365780773419747 48.213349146214625, 16.365067467179127 48.21361701574033)","1, Rockhgasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350715,350715,"LINESTRING (16.364206157090575 48.2138319114338, 16.36389134145759 48.21366257141864)","1, Schottenbastei 1-5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350716,350716,"LINESTRING (16.37423682836543 48.21074252195285, 16.374752959582096 48.21112782036537)","1, Rotgasse 9 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350717,350717,"LINESTRING (16.373201052444617 48.21095583200591, 16.37330705138805 48.211078338677645, 16.37338002180281 48.21115457936029)","1, Judengasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350718,350718,"LINESTRING (16.373476842082937 48.2112474833277, 16.37361815798722 48.21136884281652)","1, Judengasse 4",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350719,350719,"LINESTRING (16.37202689767864 48.21056761939212, 16.371866619974945 48.21045642949783, 16.371759762511825 48.210371993228556, 16.37164309754202 48.21026197993637)","1, Wildpretmarkt 8 bis 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350720,350720,"LINESTRING (16.371528742952197 48.210143219948996, 16.371360402221512 48.20994994213347)","1, Wildpretmarkt 2-4 bis 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350721,350721,"LINESTRING (16.372481887857106 48.20943354925344, 16.372757027275036 48.20962560204961)","1, Kramergasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350722,350722,"LINESTRING (16.370376512448132 48.2057162272991, 16.37053686117473 48.20601768019584)","1, Neuer Markt ggü. 9 bis ggü. 10-11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350723,350723,"LINESTRING (16.37090486396592 48.20640833414542, 16.370955540353307 48.2066418525392)","1, Neuer Markt 1 bis 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350724,350724,"LINESTRING (16.369258396238184 48.206141263143266, 16.36947244811352 48.206365738344154)","1, Spiegelgasse 19 bis 21",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350725,350725,"LINESTRING (16.344954373127955 48.19469434672276, 16.345290272086554 48.19437452095796)","6, Haydngasse 14 bis 16",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
