FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.350775,350775,"LINESTRING (16.37275011654895 48.197640517919794, 16.373124161865174 48.197775519520434)","4, Gußhausstraße 11 bis 13",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350776,350776,"LINESTRING (16.356748683587117 48.206148948700964, 16.35697229527932 48.20598103814969)","7, Museumstraße 12",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350777,350777,"LINESTRING (16.355419157057877 48.20542136336039, 16.355454661909224 48.20542318298955, 16.355516567231735 48.20541891200541, 16.356073733982388 48.20544296526247)","7, Neustiftgasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350778,350778,"LINESTRING (16.35558798196077 48.20475410027565, 16.35569595438977 48.2044944633074)","7, Kirchberggasse 22 bis 24",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350779,350779,"LINESTRING (16.354520133100465 48.204931879761325, 16.354547561227335 48.20480980751642, 16.35454470455909 48.20480656705786, 16.354538038643167 48.20480268419927)","7, Faßziehergasse 8",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350761,350761,"LINESTRING (16.36771585980534 48.204344675136944, 16.366465221342402 48.20373584600261)","1, Goethegasse ggü. 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,23,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350762,350762,"LINESTRING (16.365093192846125 48.20834306652131, 16.365346643314183 48.2083277733981, 16.3655075410536 48.208315835438285, 16.365597243059238 48.20830676978141, 16.36569893526241 48.20829305486314)","1, Schauflergasse 2 bis 6",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350763,350763,"LINESTRING (16.363273880918406 48.20780021699254, 16.363100829283887 48.20771174248541, 16.362942056707812 48.207617170375265)","1, Heldenplatz ",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350764,350764,"LINESTRING (16.362057521329405 48.20963434997621, 16.362677437812845 48.208928621525516)","1, Löwelstraße ggü. 6 bis ggü. 10",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,18,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350765,350765,"LINESTRING (16.369694206952854 48.20660461795654, 16.36992293060577 48.206933216655834)","1, Spiegelgasse 13 bis 17",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350766,350766,"LINESTRING (16.36999261227564 48.207032236861984, 16.3701511728315 48.207261806030964, 16.370245607387023 48.207413468172525, 16.37031243759803 48.20753955849094, 16.370444583966112 48.20779964445913)","1, Spiegelgasse 3 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,18,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350767,350767,"LINESTRING (16.37151377645611 48.20965900507385, 16.37117076109949 48.20943041954544)","1, Bauernmarkt 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350768,350768,"LINESTRING (16.372301377333994 48.20986870622738, 16.372477646895348 48.20994431683593, 16.372543820878466 48.20997950974912, 16.372598373977638 48.2100085235114, 16.37278002978513 48.21011238512295)","1, Bauernmarkt 11 bis 13",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350769,350769,"LINESTRING (16.372857832443884 48.2100582112156, 16.37297535530137 48.210120990853305, 16.373018091728188 48.210144891094124, 16.37305655781131 48.21017093306894, 16.37309505380892 48.21020108714991)","1, Bauernmarkt 14",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350770,350770,"LINESTRING (16.37758729422283 48.208845984687635, 16.37752759926534 48.20877660027701)","1, Dr.-Ignaz-Seipel-Platz 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350771,350771,"LINESTRING (16.37983482063242 48.210113801098636, 16.379850767272465 48.210458075081426)","1, Dominikanerbastei 9-13 bis 15",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350772,350772,"LINESTRING (16.38115596408112 48.211195253448594, 16.381216429337375 48.21085228855684)","1, Biberstraße 26 bis 28",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350780,350780,"LINESTRING (16.354098142108207 48.20572758479021, 16.354140617188758 48.205560412865374)","7, Mechitaristengasse 1",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350657,350657,"LINESTRING (16.341399312500112 48.21357989926796, 16.34151783316255 48.2138845294028)","8, Blindengasse 44 bis 46",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350658,350658,"LINESTRING (16.34297294544749 48.21205468274345, 16.3427582612087 48.21206543443809)","8, Florianigasse 62",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350659,350659,"LINESTRING (16.35263280448523 48.19799994189205, 16.351774316744706 48.198043072449465)","6, Schadekgasse 1",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350660,350660,"LINESTRING (16.35077265993294 48.19754290810286, 16.350934467494376 48.19734615328359)","6, Amerlingstraße 6",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350661,350661,"LINESTRING (16.350456974761304 48.19589297333553, 16.350088778560238 48.195685150136526)","6, Königseggasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350662,350662,"LINESTRING (16.348732625408303 48.195063413522185, 16.349140945493183 48.19469473207728)","6, Loquaiplatz ggü. 10 bis ggü. 11",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,17,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350663,350663,"LINESTRING (16.34718134732404 48.19349970408968, 16.34727655942602 48.19340375424896)","6, Webgasse 12 bis 14",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350664,350664,"LINESTRING (16.34323416410278 48.195089329154584, 16.343354581818897 48.19498196077417)","6, Stumpergasse 52",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350665,350665,"LINESTRING (16.373008461365682 48.21349898854057, 16.372633494623848 48.21370657186904)","1, Gonzagagasse 5 bis 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350666,350666,"LINESTRING (16.368228325906944 48.212421541027, 16.368556078581445 48.21265933504765, 16.36872700558054 48.21279353663755)","1, Tiefer Graben 20 bis 26",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350667,350667,"LINESTRING (16.37416952541201 48.21075043017549, 16.37392707386111 48.21088934241318)","1, Fischhof 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350668,350668,"LINESTRING (16.37285247007271 48.21092118100356, 16.372653172245588 48.21100928441398, 16.372427196043503 48.21112654504207)","1, Hoher Markt ggü. 8-9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350669,350669,"LINESTRING (16.370823109107643 48.20907086676991, 16.37085526442133 48.20924039301474)","1, Freisingergasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350670,350670,"LINESTRING (16.370167450592206 48.20643115744192, 16.370401689468952 48.2067550186531)","1, Seilergasse 14 bis 18",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350671,350671,"LINESTRING (16.376882590537416 48.208722923813525, 16.37713303016299 48.20861665216308)","1, Bäckerstraße 18",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350672,350672,"LINESTRING (16.362902085841892 48.21141665002106, 16.363240762029847 48.21094971910878)","1, Rosengasse 1-3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350673,350673,"LINESTRING (16.355772232363133 48.20064063739115, 16.355696822396983 48.20076580963487)","7, Stiftgasse ggü. 1-3",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350674,350674,"LINESTRING (16.377154378860357 48.20771055044991, 16.377320664347938 48.20793176127449)","1, Riemergasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350675,350675,"LINESTRING (16.373994458098643 48.207170785871725, 16.3738108466864 48.20726697665767, 16.373733980109765 48.20729936158232, 16.373674175078616 48.20732270722555, 16.373417793491818 48.20740897471642)","1, Singerstraße 12 bis 16",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350676,350676,"LINESTRING (16.374954868004036 48.20856839141443, 16.37514207938841 48.20875517913986)","1, Strobelgasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350677,350677,"LINESTRING (16.374906624894518 48.208438864391255, 16.375050772324606 48.20858505138198)","1, Strobelgasse 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350678,350678,"LINESTRING (16.371579951901545 48.21205139348058, 16.371789199487303 48.21192997702402, 16.37183331097476 48.2118814226616, 16.371967798252022 48.21176288445145)","1, Salvatorgasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350679,350679,"LINESTRING (16.37264007322505 48.21206159199343, 16.37219140964384 48.21223286495261)","1, Sterngasse 6 bis 6A",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350680,350680,"LINESTRING (16.34062857100851 48.21141582165683, 16.34069248386213 48.21164570929743)","8, Blindengasse ggü. 33 bis ggü. 35",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350681,350681,"LINESTRING (16.34138983989186 48.21204525012973, 16.341175056036015 48.212055083817596)","8, Florianigasse 71 bis 73",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350682,350682,"LINESTRING (16.346222440577343 48.21354363929115, 16.346297368904438 48.213644144786564, 16.346311202419912 48.21365735002081, 16.3463261576058 48.213669483841954, 16.34643570350643 48.213746925414156, 16.34655406891661 48.21382708201244)","8, Skodagasse 11 bis 13",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350683,350683,"LINESTRING (16.368329273596448 48.20627880977351, 16.368450779808875 48.206408335843925)","1, Dorotheergasse 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350684,350684,"LINESTRING (16.36887729911186 48.206966818329875, 16.368426397783452 48.20716319421298)","1, Stallburggasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350685,350685,"LINESTRING (16.368168342644047 48.2070978884298, 16.367981648971643 48.207406674004794)","1, Stallburggasse 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350686,350686,"LINESTRING (16.367309324756924 48.20742960138731, 16.36767218048644 48.207525469489944)","1, Habsburgergasse 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350687,350687,"LINESTRING (16.36803299971449 48.21104980411766, 16.368257178786582 48.211336799105084)","1, Am Hof ggü. 1 bis ggü. 13",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350688,350688,"LINESTRING (16.38049997952811 48.20843708192539, 16.379911344709818 48.20778118825633)","1, Biberstraße 1 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,15,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350689,350689,"LINESTRING (16.379271383521743 48.20791611132267, 16.379457968041503 48.20814737028461, 16.37947828013864 48.20817448828488, 16.379621493534287 48.208301496451654)","1, Dominikanerbastei 1 bis ggü. 2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350690,350690,"LINESTRING (16.380061107606597 48.210841515379634, 16.380076768458146 48.21117409714839)","1, Dominikanerbastei 22 bis 24",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350691,350691,"LINESTRING (16.3797131468906 48.20933071833563, 16.379177686500977 48.20926667544252)","1, Barbaragasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350692,350692,"LINESTRING (16.37897619926008 48.209380805669355, 16.37897409985153 48.209374195345156, 16.378880793803688 48.20920936162855, 16.378873684895808 48.20920151435844, 16.37877274545092 48.20905459667435, 16.37864718431477 48.20886659820112, 16.378608868717045 48.20881128974311, 16.37857713998966 48.20876304409969)","1, Postgasse 7 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350693,350693,"LINESTRING (16.3788930088665 48.20952182832795, 16.378873160636875 48.209625722632126, 16.378862918984215 48.20972552145961)","1, Postgasse ggü. 8-12",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350694,350694,"LINESTRING (16.37565027746836 48.209727019111654, 16.375720566518947 48.20970260539052, 16.37619385895482 48.20947996232753)","1, Sonnenfelsgasse 3 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350695,350695,"LINESTRING (16.374769575250067 48.20997467297228, 16.374635056758756 48.21003682168465)","1, Lugeck 1-2",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350696,350696,"LINESTRING (16.375582164873013 48.210938302780804, 16.37586190456129 48.21084064943999, 16.375903191531805 48.21082778614019, 16.375941632330516 48.21081873017359, 16.375981495988174 48.21080967482411, 16.37599853260593 48.21080642574287)","1, Fleischmarkt 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350697,350697,"LINESTRING (16.351890934892324 48.225088296071455, 16.351770699544698 48.22485915697609)","9, Altmüttergasse 2",ausg. Fahrzeuge mit Parkkleber für den 9. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350513,350513,"LINESTRING (16.340158878591158 48.193100019232546, 16.34039176313352 48.1931874110983)","6, Spalowskygasse 4 bis 6",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350514,350514,"LINESTRING (16.352557199838206 48.20535629229227, 16.352934886026937 48.20537427102555)","7, Neustiftgasse 18 bis 22",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350515,350515,"LINESTRING (16.35157746032135 48.20485754100375, 16.351567773508506 48.20451691765289)","7, Kirchengasse 44 bis 46",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350516,350516,"LINESTRING (16.35078473103843 48.204110861536485, 16.35100180636218 48.204103721029206)","7, Burggasse 49 bis 51",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,3,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350517,350517,"LINESTRING (16.35194179270967 48.20426479551491, 16.352411520850552 48.204263926990144)","7, Burggasse 24",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350518,350518,"LINESTRING (16.354174568067407 48.204146078964875, 16.35461803815321 48.20417003574036)","7, Burggasse 12 bis 14-16",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350519,350519,"LINESTRING (16.338916777852095 48.19255539265663, 16.3391776617832 48.192511936330135)","6, Mittelgasse 35 bis 37",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350520,350520,"LINESTRING (16.340431023055782 48.191388970423915, 16.34019378351533 48.191340151741336)","6, Liniengasse 48",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350521,350521,"LINESTRING (16.342530179499434 48.19186538403633, 16.342925012246827 48.19197994350408)","6, Liniengasse 32 bis 34",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350522,350522,"LINESTRING (16.341431425505114 48.19263005960525, 16.34158308396959 48.192439525811)","6, Aegidigasse ggü. 8 bis ggü. 10",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350523,350523,"LINESTRING (16.340725937344235 48.1921673351324, 16.340993828083004 48.19224014750782)","6, Strohmayergasse 4 bis 6",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350524,350524,"LINESTRING (16.339487023902105 48.191747288347024, 16.339984853125095 48.191883672301365)","6, Strohmayergasse 11 bis 15",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350525,350525,"LINESTRING (16.339088961027375 48.19098164181284, 16.338992292982425 48.19070808004374)","6, Wallgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350526,350526,"LINESTRING (16.355881093977576 48.20552426103674, 16.355747122336336 48.20551111467619, 16.355565870216296 48.205499732113175)","7, Neustiftgasse 2",ausg. Fahrzeuge mit Parkkleber für den 7. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350527,350527,"LINESTRING (16.35308195201589 48.2133815499502, 16.352652655979092 48.213362475277016)","8, Laudongasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350528,350528,"LINESTRING (16.351913496377584 48.21309108934604, 16.352001221469486 48.21270968587705)","8, Lammgasse 10 bis 12",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350529,350529,"LINESTRING (16.352082791074512 48.21202654655585, 16.352000833346036 48.21238603522449)","8, Lammgasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350530,350530,"LINESTRING (16.351219856581338 48.212518463051005, 16.351336994280338 48.211984374606104)","8, Lange Gasse ggü. 56 bis ggü. 60",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,12,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350531,350531,"LINESTRING (16.35168062913261 48.210829358931065, 16.351730050376954 48.21066672415726)","8, Lange Gasse 45 bis 47",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350532,350532,"LINESTRING (16.35028260140873 48.21045322452173, 16.35036817927174 48.21005838995922)","8, Piaristengasse 43",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350533,350533,"LINESTRING (16.34089103293889 48.19102192022651, 16.340805285726734 48.19119392107657)","6, Gfrornergasse 11",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350534,350534,"LINESTRING (16.364197386221598 48.19573860849908, 16.364375772327527 48.19585916907465, 16.364382271000736 48.1958623847894, 16.364391881102637 48.19586409562471, 16.364397965983514 48.19586395248172)","4, Margaretenstraße 25 bis 27",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350535,350535,"LINESTRING (16.364486057511353 48.19676039608814, 16.364684330305053 48.1966388263285)","4, Schikanedergasse 1",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350536,350536,"LINESTRING (16.361891207673835 48.196060548822445, 16.362204786996635 48.19633162951663)","4, Mühlgasse 29 bis 31",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350537,350537,"LINESTRING (16.362795873962515 48.195274743474165, 16.3627793282349 48.19527279354992, 16.362759865964403 48.19527207187229, 16.362741519253937 48.19527290800386, 16.362713566924395 48.19527711431298, 16.362524427132723 48.195325264882555)","4, Heumühlgasse 3",ausg. Fahrzeuge mit Parkkleber für den 4. und 5. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350538,350538,"LINESTRING (16.353202043420886 48.22341052879378, 16.35275183431098 48.22350310201627)","9, Pichlergasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 9. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350539,350539,"LINESTRING (16.353115915583064 48.22383239017398, 16.352815298131322 48.223881709006115)","9, Bleichergasse 3 bis 5",ausg. Fahrzeuge mit Parkkleber für den 9. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
