FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.225,225,"LINESTRING (16.367812566984522 48.207613683097584, 16.368470859089438 48.20832162394701, 16.369035119387114 48.208921084389154, 16.369134828006516 48.20897054788553, 16.369280092258084 48.20900476999276, 16.3693940402712 48.20905423004655, 16.36953650498965 48.2091626913063, 16.369633361237096 48.20920454157655, 16.369724486004976 48.209193093590386, 16.369858321743163 48.209168307792396, 16.36997794087607 48.209179693888956, 16.37009190508728 48.209251995910556, 16.370416698093457 48.209449868752166, 16.370436702729805 48.209552655661376, 16.370171991935223 48.2097716436906, 16.36993862085204 48.21001346453153, 16.369915879091998 48.21007819240932, 16.369970030729093 48.21013908991242, 16.370448555036006 48.210239836764266, 16.37057670402574 48.21022647316681)","1A, 2A",2,Autobus,
OEFFLINIENOGD.226,226,"LINESTRING (16.374128017992312 48.21010162017476, 16.37465153146242 48.21050174705792, 16.37497743863888 48.21072649528775, 16.37542082634274 48.210947633025576, 16.3763240639613 48.211939550344695, 16.376336055439907 48.21197737951583, 16.37630406365765 48.2120387799062, 16.376207972419753 48.21207878815452, 16.375983760586067 48.212173092197325, 16.37569337843711 48.21232880871733, 16.375287701620486 48.212557375309686, 16.375074185451062 48.21267594468753, 16.374988784984613 48.21273165215675, 16.374926875044913 48.212780213742406, 16.374882058159073 48.212833052969316, 16.37483725061733 48.21290016883212, 16.374798868025117 48.212988697047116, 16.374760494984873 48.21309007378596, 16.374724247534424 48.213178602153505, 16.374655960330312 48.213268567587576, 16.373992103446685 48.213902673873235, 16.37392380662825 48.21398264565577, 16.373844837757044 48.21407547034361, 16.373648511777 48.214345363917914, 16.37355460622274 48.21446103592906, 16.373469224024824 48.21454815088242, 16.373010257037098 48.21497374447872, 16.372685778270256 48.21527936956859, 16.372621712327042 48.21530651515197, 16.37251276564128 48.215305122538915, 16.37243797181564 48.21526517161135, 16.371245131664015 48.21450150958124)",2A,2,Autobus,
OEFFLINIENOGD.227,227,"LINESTRING (16.363535072434136 48.21293071322256, 16.364221032115783 48.21200232251194, 16.364374775500913 48.211909011165105, 16.364505743931442 48.21183283634222, 16.364796211277437 48.21177375359352, 16.36512369425546 48.211699432618786, 16.365422696868958 48.21162511798964, 16.36569035623802 48.21152796711048, 16.3658441154087 48.211468917772144)",1A,2,Autobus,
OEFFLINIENOGD.228,228,"LINESTRING (16.3658441154087 48.211468917772144, 16.366271208148707 48.21127844962876, 16.36628824803362 48.211196592891326, 16.365393365692036 48.210136542228724, 16.365925537307117 48.20945683414237, 16.366505790190054 48.208238404217575, 16.366579802210104 48.20818318176965, 16.366687999262304 48.208148888084246, 16.36679048385871 48.2080860433858, 16.366830289431988 48.20797753005122, 16.366807442076503 48.20787093733427, 16.366776076619445 48.20780432066327, 16.366787425063624 48.2077319828031, 16.367006525157944 48.20743116156801)","1A, 2A",2,Autobus,
OEFFLINIENOGD.229,229,"LINESTRING (16.366432483383875 48.214299354084126, 16.366364147297816 48.214333636089805, 16.366247363350357 48.2143184386908, 16.36569748246833 48.214006398367935, 16.364754469419214 48.21352503731095, 16.36431573858117 48.21331194764859, 16.363535072434136 48.21293071322256)",1A,2,Autobus,
OEFFLINIENOGD.230,230,"LINESTRING (16.369877033550182 48.21734698351657, 16.370007544331806 48.21737799663747, 16.370161364729324 48.21739222775058, 16.370315164646755 48.217373621929035, 16.370421951971036 48.21733504356065, 16.37048174334428 48.217299333606086, 16.370842543575908 48.21696229613641, 16.370818998772062 48.21689520256859, 16.370731384572853 48.21685239908866, 16.369532586135087 48.21629453616549, 16.36949407750145 48.2162074593671, 16.370017113889404 48.21569620109144, 16.371245131664015 48.21450150958124)",3A,2,Autobus,
OEFFLINIENOGD.231,231,"LINESTRING (16.371245131664015 48.21450150958124, 16.370933446160503 48.21430196164856, 16.370135723636203 48.2137705113298)","2A, 3A",2,Autobus,
OEFFLINIENOGD.232,232,"LINESTRING (16.370135723636203 48.2137705113298, 16.37000381589414 48.21368263224561, 16.369533721130214 48.21345148739483, 16.369433321930817 48.21344866125865, 16.369010631310207 48.21385138578323, 16.36892732985603 48.213861403741355, 16.368818373581032 48.21384001941426, 16.367724772033085 48.2133398389706, 16.367604561712426 48.2132506427001, 16.36752881181258 48.21309302489772, 16.367257189947342 48.21282838589469, 16.366838598403344 48.212367480965696, 16.36593925519824 48.21164793453929, 16.36581250420237 48.21152319525533, 16.3658441154087 48.211468917772144)",2A,2,Autobus,
OEFFLINIENOGD.233,233,"LINESTRING (16.374128017992312 48.21010162017476, 16.37409104499094 48.21017016129993, 16.373348002273467 48.21054730865924, 16.37206407123225 48.21127107037301)","1A, 3A",2,Autobus,
OEFFLINIENOGD.234,234,"LINESTRING (16.370135723636203 48.2137705113298, 16.37012502128568 48.21366162341981, 16.37022731154078 48.21356344071707, 16.370552119020957 48.21347708842644, 16.372625556293407 48.212964866597225, 16.372745633625637 48.21285477891762, 16.372842903658785 48.2119713783682, 16.372784977900643 48.21186729553665, 16.37206407123225 48.21127107037301)",3A,2,Autobus,
