FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.376712,376712,POINT (16.412159770341834 48.23572279967684),3365,APCOA Parking Austria GmbH,Wohnen am Donaupark,1220,Wien,Leonard-Bernsteinstraße 8,http://www.apcoa.at/parken-in/wien/wohnen-am-donaupark.html,http://www.apcoa.at/en/parking-in/wien/wohnen-am-donaupark.html,http://www.parken.at/garage/3365/,http://www.parken.at/en/garage/3365/,16.4121687412,48.235728905,N,N,
GARAGENOGD.376713,376713,POINT (16.36602600933365 48.241417948773524),3354,APCOA Parking Austria GmbH,Brigittenauer Lände,1200,Wien,Brigittenauer Lände 156-158,http://www.apcoa.at/parken-in/wien/brigittenauer-laende.html,http://www.apcoa.at/en/parking-in/wien/brigittenauer-laende.html,http://www.parken.at/garage/3354/,http://www.parken.at/en/garage/3354/,16.3660347462,48.2414240526,N,N,
GARAGENOGD.376714,376714,POINT (16.394725364788457 48.139768129849266),3324,APCOA Parking Austria GmbH,Grundäckergasse,1100,Wien,Grundäckergasse 34,http://www.apcoa.at/parken-in/wien/tiefgarage-grundaeckergasse.html,http://www.apcoa.at/en/parking-in/wien/underground-car-park-grundaeckergasse.html,http://www.parken.at/garage/3324/,http://www.parken.at/en/garage/3324/,16.3947343826,48.1397737665,N,N,
GARAGENOGD.376715,376715,POINT (16.419111952948864 48.18551831055498),3331,APCOA Parking Austria GmbH,Gasometer City A+C,1110,Wien,Guglgasse 6-10,http://www.apcoa.at/parken-in/wien/gasometer-city-a-c.html,http://www.apcoa.at/en/parking-in/wien/gasometer-city-a-c.html,http://www.parken.at/garage/3331/,http://www.parken.at/en/garage/3331/,16.419121027,48.1855241801,N,N,
GARAGENOGD.376716,376716,POINT (16.421161150478632 48.18536094042861),3332,APCOA Parking Austria GmbH,Gasometer E - Entertainment-Center,1110,Wien,Guglgasse 11,http://www.apcoa.at/parken-in/wien/gasometer-e-entertainment-center.html,http://www.apcoa.at/en/parking-in/wien/gasometer-e-entertainment-center.html,http://www.parken.at/garage/3332/,http://www.parken.at/en/garage/3332/,16.4211702347,48.1853668108,N,N,
GARAGENOGD.376717,376717,POINT (16.35913024755883 48.20577007102092),2166,APCOA Parking Austria GmbH,Museum,1010,Wien,Bellariastraße,http://www.apcoa.at/parken-in/wien/museum.html,http://www.apcoa.at/en/parking-in/wien/museum.html,http://www.parken.at/garage/2166/,http://www.parken.at/en/garage/2166/,16.359139,48.205776,N,N,
GARAGENOGD.376718,376718,POINT (16.38283789005139 48.15235297224581),3323,APCOA Parking Austria GmbH,EKZ Hanssonzentrum,1100,Wien,Favoritenstraße 239,http://www.apcoa.at/parken-in/wien/ekz-hanssonzentrum.html,http://www.apcoa.at/en/parking-in/wien/ekz-hanssonzentrum.html,http://www.parken.at/garage/3323/,http://www.parken.at/en/garage/3323/,16.3828468323,48.1523586612,N,N,
GARAGENOGD.376719,376719,POINT (16.298134206231428 48.19759855406108),3341,APCOA Parking Austria GmbH,Hütteldorferstrasse,1140,Wien,Hütteldorferstraße 130,http://www.apcoa.at/parken-in/wien/huetteldorferstrasse.html,http://www.apcoa.at/en/parking-in/wien/huetteldorferstrasse.html,http://www.parken.at/garage/3341/,http://www.parken.at/en/garage/3341/,16.2981426716,48.1976044064,N,N,
GARAGENOGD.376720,376720,POINT (16.394103094561352 48.13981108746925),3325,APCOA Parking Austria GmbH,Grundäckergasse,1100,Wien,Grundäckergasse 36-38,http://www.apcoa.at/parken-in/wien/grundaeckergasse.html,http://www.apcoa.at/en/parking-in/wien/surface-car-park-grundaeckergasse.html,http://www.parken.at/garage/3325/,http://www.parken.at/en/garage/3325/,16.3941121101,48.1398167236,N,N,
GARAGENOGD.376721,376721,POINT (16.332176697021126 48.241618037918904),3353,APCOA Parking Austria GmbH,Saileräckergasse,1190,Wien,Saileräckergasse 45,http://www.apcoa.at/parken-in/wien/saileraeckergasse.html,http://www.apcoa.at/en/parking-in/wien/saileraeckergasse.html,http://www.parken.at/garage/3353/,http://www.parken.at/en/garage/3353/,16.3321852684,48.2416241215,N,N,
