11252,"48.20366972378574,16.337417655089805"
11207,"48.20266907954695,16.36950319268082"
11312,"48.22181286544736,16.34370742919867"
11263,"48.21918007240759,16.366334431034286"
11260,"48.21521903361881,16.346440322647627"
11268,"48.22642502262636,16.3513387427262"
11221,"48.217768685006895,16.373077469949898"
11239,"48.19085186687401,16.37565799613735"
11288,"48.19307863661804,16.333944196182642"
11279,"48.18682718871198,16.314233440881285"
11220,"48.21951469618898,16.382202301928466"
11293,"48.214012595893635,16.330751689466553"
11273,"48.23528066667918,16.358695559144945"
11223,"48.22317715612901,16.399781097625972"
11289,"48.196823487932726,16.33855892056237"
11270,"48.222736726527195,16.367431454131193"
11240,"48.19972409425667,16.36815119456501"
11278,"48.17517018087157,16.331683544704998"
11281,"48.202505065651444,16.329879342156847"
11301,"48.214068153350084,16.335760689943697"
11313,"48.23172265428253,16.352971748438584"
11317,"48.237457906071185,16.380306187319295"
11319,"48.24201099367874,16.38480406322374"
11266,"48.2268151508829,16.365300558015445"
11286,"48.190811391990984,16.32549259406012"
11257,"48.19672112366531,16.343974308719062"
11280,"48.19033218545624,16.31855107051215"
11306,"48.22323518323614,16.315278837462255"
11299,"48.210780483631886,16.31878981488788"
11290,"48.19795699287697,16.337711347298168"
11230,"48.205679689184535,16.396001156576908"
11275,"48.18515975563565,16.374056717115323"
11245,"48.18154277129087,16.358003129491298"
11208,"48.209915050008966,16.360241247266078"
11248,"48.18952115303165,16.35101826426761"
11242,"48.196354117186324,16.35740024220815"
11320,"48.23361292300894,16.383436166347646"
11318,"48.235129924432414,16.369837235391667"
11294,"48.20583807286012,16.330829851564694"
11222,"48.21782586224878,16.392021818411685"
11315,"48.2365946555803,16.348736568037992"
11296,"48.21210195102437,16.339101362978052"
11225,"48.21285225769253,16.40768551471879"
11247,"48.19269913559258,16.35469625087456"
11255,"48.20215509262772,16.352024276415193"
11300,"48.20801170422987,16.33793230955998"
11256,"48.201029106300076,16.337718344961175"
11205,"48.21152802914468,16.382366140998066"
11209,"48.21595801394632,16.37221319716503"
11295,"48.20919324374739,16.33342655566557"
11249,"48.18527148353864,16.35301425105463"
11302,"48.2166392200885,16.341520627990207"
11276,"48.1842621890689,16.333922340118463"
11264,"48.2203370033277,16.356383281385313"
11272,"48.21458602735518,16.361385247869126"
11305,"48.21803320801108,16.33228395218437"
11201,"48.20971813968917,16.36667803016222"
11227,"48.2016134404454,16.384468407357602"
11269,"48.22514562147288,16.354975797960442"
11259,"48.21053263166596,16.34405805818636"
11244,"48.18847016318455,16.343859298396996"
11219,"48.215872005711226,16.386201129414278"
11250,"48.1893607742042,16.33830477105179"
11213,"48.21195267335475,16.360842062774527"
11321,"48.22990594779746,16.3715732198241"
11211,"48.20681451154315,16.38043726696341"
11304,"48.221254427468416,16.334520908141187"
11210,"48.21169303135952,16.376646169161795"
11310,"48.2310188175218,16.329509697076634"
11274,"48.186293516933475,16.375698223043457"
11246,"48.18972630525521,16.361329704151782"
11316,"48.24402054983736,16.379227781223292"
11308,"48.2195379630232,16.32653332595916"
11206,"48.2021510803414,16.37130818308038"
11229,"48.19667110171217,16.39519377601202"
11298,"48.210090539030524,16.32798169955151"
11291,"48.195736445205696,16.337209773921458"
11215,"48.21844838751067,16.39027144731316"
11267,"48.22607897216875,16.361910261242414"
11237,"48.19530317571636,16.363298444460696"
11303,"48.2228109095436,16.3284886518388"
11228,"48.1942341083809,16.38657209655818"
11236,"48.20584565595263,16.385238396352516"
11285,"48.19987760421484,16.32711600594408"
11238,"48.192876888617675,16.367061561235158"
11292,"48.19406919497855,16.318423671003167"
11277,"48.18024321000042,16.33077135094769"
11251,"48.19852111048471,16.35090927688664"
11243,"48.187178156176074,16.36389119742535"
11284,"48.18586019000772,16.31988941119988"
11224,"48.209977012009766,16.421396948698256"
11234,"48.198851092510644,16.37696815054703"
11202,"48.2104190505322,16.356091268325493"
11287,"48.19679489159173,16.323053145093358"
11265,"48.21515002865829,16.355136279645876"
11232,"48.210677028430915,16.390210102370393"
11233,"48.203404062785246,16.389773093546395"
11271,"48.219287754026425,16.352475524304293"
11261,"48.228940550854276,16.359604918172373"
11217,"48.21437599562027,16.414362988403433"
11258,"48.206001071480465,16.356423260794898"
11218,"48.21728998644786,16.406162033040825"
11297,"48.21185291402386,16.311762463262074"
11204,"48.203360070989824,16.37671015798404"
11309,"48.228560271940516,16.335035018108595"
11314,"48.22419498908096,16.34902132172584"
11216,"48.2156730104602,16.379647160615075"
11231,"48.19298076866997,16.398455320772662"
11214,"48.206501066193795,16.360404241641643"
11212,"48.20850804850966,16.374035178239456"
11262,"48.22110519488526,16.360176112073113"
11241,"48.183880183581195,16.3458232822723"
11226,"48.19462553543819,16.377114434562824"
11253,"48.20233933964785,16.361106476462247"
11203,"48.21066012185283,16.372977055416264"
11235,"48.19923307994595,16.3943220661911"
11254,"48.20724307326908,16.34323232755903"
11307,"48.217118899239146,16.337133360472738"
11282,"48.1983583735664,16.3189695046396"
11311,"48.22570492281959,16.344193372014836"
11283,"48.196186109663216,16.330205219997342"
